,0,1
DaytonOHMontgomery,39.7589478,-84.1916069
ReynoldsburgOHFranklin,39.9547861,-82.8121191
WilliamsburgOHClermont,39.0542312,-84.0529886
WestervilleOHFranklin,40.126139,-82.9295287
ColumbusOHFranklin,39.9622601,-83.0007065
MiamisburgOHMontgomery,39.6428362,-84.2866083
JohnstownOHLicking,40.1536742,-82.6851699
DublinOHFranklin,40.0992294,-83.1140771
Canal WinchesterOHFairfield,39.842920500000005,-82.81594617222837
LebanonOHWarren,39.4353373,-84.2029922
SabinaOHClinton,39.4886732,-83.6368659
GoshenOHClermont,39.2318998,-84.1601458
WaynesvilleOHWarren,39.5297824,-84.086601
SpringboroOHWarren,39.5522815,-84.2332718
CarrollOHFairfield,40.5250362,-81.0927234
OregoniaOHWarren,39.4508937,-84.0960452
IndependenceOHCuyahoga,41.3816571,-81.6406872
Maple HeightsOHCuyahoga,41.4153313,-81.565956
Grove CityOHFranklin,39.8814519,-83.0929645
FindlayOHHancock,41.0413873,-83.6503982
FairbornOHGreene,39.8208998,-84.0193858
PiquaOHMiami,40.1447732,-84.2424449
New RichmondOHClermont,38.9486757,-84.2799366
BataviaOHClermont,39.0770072,-84.1768795
GalenaOHDelaware,40.2150625,-82.8799013
BarbertonOHSummit,41.012833,-81.6051221
AkronOHSummit,41.083064,-81.518485
MansfieldOHRichland,40.75839,-82.5154471
ClevelandOHCuyahoga,41.5051613,-81.6934446
BethelOHClermont,38.9636771,-84.0807664
Canal WinchesterOHFranklin,39.842920500000005,-82.81594617222837
PataskalaOHLicking,39.9956193,-82.6743341
SevilleOHMedina,41.010055,-81.86236
BellvilleOHRichland,40.6201798,-82.5112483
TroyOHMiami,40.0394982,-84.2032767
WilmingtonOHClinton,39.4453393,-83.8285375
North OlmstedOHCuyahoga,41.4156025,-81.9234726
GroveportOHFranklin,39.8522449,-82.8868636
OrientOHFranklin,39.8031819,-83.1518931
TiroOHCrawford,40.9056121,-82.7726803
StrongsvilleOHCuyahoga,41.3144733,-81.83511
BeavercreekOHMontgomery,39.7092262,-84.0632685
CirclevilleOHPickaway,39.600618,-82.9460133
PeeblesOHAdams,38.9489593,-83.4057458
DaytonOHGreene,39.7589478,-84.1916069
HurricaneWVPutnam,38.4325896,-82.0201368
XeniaOHGreene,39.6847822,-83.9296526
ElyriaOHLorain,41.368251,-82.1065757
PickeringtonOHFairfield,39.896277299999994,-82.77319049748806
BurbankOHWayne,40.988667,-81.9948684
ZanesvilleOHMuskingum,39.9403453,-82.0131924
North BaltimoreOHWood,41.1828302,-83.6782668
Mount SterlingOHMadison,39.7195055,-83.2651926
Tipp CityOHMiami,39.9583892,-84.1721638
MoraineOHMontgomery,39.7061702,-84.2193849
HilliardOHFranklin,40.033814,-83.1596108
Bowling GreenOHWood,41.3747744,-83.6513229
MainevilleOHWarren,39.315134,-84.2209419
VermilionOHLorain,41.4219889,-82.3646068
MilfordOHClermont,39.174625,-84.2958988
BrookparkOHCuyahoga,41.4193641,-81.8241644
Fraziers BottomWVPutnam,38.570365,-81.9906931
CambridgeOHGuernsey,40.031183,-81.5884561
DelawareOHDelaware,40.2317686,-82.9651045
MoscowOHClermont,38.8570117,-84.2291017
OberlinOHLorain,41.2939386,-82.2173786
SardiniaOHBrown,39.0078448,-83.8085377
Lewis CenterOHDelaware,40.1983958,-83.0101843
UrbancrestOHFranklin,39.8975632,-83.0868531
BrecksvilleOHCuyahoga,41.3197763,-81.6267904
FrankfortOHRoss,39.4014524,-83.1807431
BlanchesterOHClinton,39.2931174,-83.9888205
CasstownOHMiami,40.0519994,-84.1296629
LimaOHAllen,40.7399785,-84.105006
AmeliaOHClermont,39.0283966,-84.2177136
NewarkOHLicking,40.0581205,-82.4012643
SpringfieldOHClark,39.9242266,-83.8088172
VandaliaOHMontgomery,39.8906122,-84.1988308
